Complexity,Loss,Equation
1,1.9918375,"-16.707329"
3,1.3024148,"(x0 - 47.437057)"
5,1.2824447,"((x0 * 1.2016358) - 53.633575)"
9,1.2824444,"(((x0 + (0.017754583 / x0)) * 1.2016358) - 53.633575)"
10,1.2823838,"((((sqrt(x0) * 24.599554) - x0) + -61.115547) - 61.21942)"
