Complexity,Loss,Equation
1,0.0046846606,"0.9996168"
3,0.0046781073,"(x0 ^ -0.0004912264)"
4,0.0045148307,"exp(4.712951 / x0)"
5,0.003945393,"(-10129.191 / (-9562.382 - x0))"
7,0.0039443537,"((-10344.042 / (-9772.659 - x0)) ^ 1.0729246)"
9,0.003943845,"(-10344.042 / ((-9772.659 - x0) - (-9772.659 / x0)))"
10,0.003943735,"((-10344.042 / ((-9772.659 - log(x0)) - x0)) ^ 1.0576077)"
