Complexity,Loss,Equation
1,0.0046846606,"0.9996168"
3,0.0046844883,"(0.99997747 ^ x0)"
4,0.0046405913,"sqrt(27.34101 / x0)"
5,0.0046277028,"sqrt(sqrt(27.341022 / x0))"
6,0.0046242923,"sqrt((27.341019 / x0) ^ 0.6558157)"
