Complexity,Loss,Equation
1,0.79197043,"M"
3,0.6159657,"(M * 0.58117354)"
5,0.6157,"((M + 0.028054222) * 0.5811628)"
9,0.6156846,"((1.2585113 / ((2.1653633 / M) + 0.0010982625)) + 0.016303996)"
10,0.6155667,"((1.259708 / ((abs(2.1653633) / M) + 0.016303996)) + 0.016303996)"
11,0.61540574,"(((sqrt(sqrt(0.9271297 ^ M)) * M) * 0.59719855) + 0.027491901)"
17,0.61533356,"((M + (sqrt(abs((0.100749634 / (abs(M) + -0.03157649)) * 0.09562352)) * 0.13636985)) * abs(0.5778233))"
