Complexity,Loss,Equation
1,0.7917112,"0.016088057"
3,0.7527271,"(gas_frac * -0.19810383)"
4,0.5728395,"(abs(Vz) + -0.76125395)"
5,0.5568545,"(sqrt(abs(Vz)) + -0.79137576)"
6,0.53906053,"((abs(Vz) ^ 0.7185264) + -0.7647494)"
7,0.53292763,"((sqrt(abs(Vz)) + -0.79628265) * 1.4369155)"
9,0.51976424,"((sqrt(abs(Vz)) + -0.83143383) + (gas_frac * -0.14833386))"
10,0.5184368,"((sqrt(abs(abs(Vz))) + -0.8092674) + (gas_frac * -0.14833386))"
11,0.51170635,"((abs(Vz / exp(0.3002458 * gas_frac)) ^ 0.6640207) + -0.7450802)"
12,0.4966101,"(((abs(Vz) / 1.2752353) + (sqrt(exp(gas_frac)) * -0.28431928)) + -0.26256117)"
